ndd_gene	matched_hk_gene	ndd_gc	hk_gc	ndd_genedens	hk_genedens	ndd_recomb	hk_recomb	ndd_alu_density	hk_alu_density
SET	RPL26	0.521	0.519	33.0	33.0	1.957	1.916	1.5	1.25
POMT1	BAG1	0.575	0.542	11.0	13.0	0.789	0.342	0.75	0.25
TSC1	RPL19	0.515	0.498	22.0	25.0	3.446	3.559	0.25	1.0
KCNT1	KHSRP	0.65	0.603	14.0	23.0	2.599	1.244	0.0	0.5
NOTCH1	MCRIP1	0.694	0.625	42.0	40.0	3.121	2.598	0.0	0.5
GRIN1	PBX2	0.642	0.61	63.0	51.0	1.013	1.152	0.25	0.0
PNPLA7	CSNK1G2	0.638	0.651	35.0	36.0	1.887	1.688	1.0	0.75
EHMT1	DNAJC4	0.574	0.572	30.0	30.0	0.177	0.245	0.5	1.0
CACNA1B	ZMYND19	0.67	0.635	10.0	31.0	2.707	1.404	0.0	0.75
SHOX	NAP1L1	0.492	0.49	3.0	3.0	11.178	11.59	0.0	0.0
ASMT	COPE	0.507	0.536	7.0	32.0	8.689	4.479	3.0	1.0
NLGN4X	MAGEF1	0.467	0.482	1.0	16.0	3.634	3.043	0.0	0.25
TBL1X	ATP6V1G1	0.513	0.492	3.0	11.0	3.021	1.924	0.5	0.5
CLCN4	RHBDD2	0.451	0.468	5.0	12.0	2.782	2.206	0.25	1.75
MSL3	BLCAP	0.562	0.526	3.0	9.0	1.273	0.852	0.0	0.0
OFD1	CUL5	0.44	0.467	7.0	10.0	2.344	1.879	0.0	1.5
GLRA2	MTPN	0.383	0.433	3.0	5.0	0.14	0.288	0.25	0.25
PIGA	METTL9	0.453	0.456	12.0	13.0	0.577	0.409	0.5	1.25
SYAP1	PCBD1	0.487	0.494	5.0	9.0	2.463	1.767	1.25	0.0
CDKL5	SFT2D1	0.5	0.486	4.0	5.0	1.23	1.181	0.25	0.75
RPS6KA3	ARFGAP3	0.606	0.554	4.0	15.0	0.869	0.139	0.25	1.25
CNKSR2	RPL21	0.429	0.435	4.0	7.0	0.106	0.246	0.0	0.25
DDX53	DDX39A	0.416	0.526	1.0	28.0	6.634	4.202	0.25	2.0
PTCHD1	DDX49	0.608	0.543	5.0	32.0	8.584	4.479	0.0	0.75
ARX	CNOT11	0.528	0.51	2.0	7.0	1.365	0.808	0.0	0.75
IL1RAPL1	ZNF22	0.429	0.449	0.0	5.0	1.282	0.884	0.0	0.0
FAM47A	SELENOK	0.448	0.452	0.0	4.0	0.586	0.825	0.0	0.0
TSPAN7	COPRS	0.503	0.507	4.0	8.0	0.444	0.377	0.0	0.5
USP9X	PUM2	0.558	0.526	5.0	9.0	0.884	0.551	0.0	0.0
DDX3X	SENP5	0.553	0.526	4.0	14.0	1.873	1.497	0.0	1.5
CASK	HSPA14	0.541	0.507	3.0	11.0	2.153	1.405	0.0	0.5
MAOA	NPTN	0.539	0.523	2.0	10.0	0.093	0.152	0.25	0.5
MAOB	EIF3A	0.519	0.508	3.0	8.0	0.196	0.148	0.0	1.0
KDM6A	PAPOLA	0.55	0.518	3.0	8.0	0.841	0.537	0.25	1.0
CDK16	SLC35E1	0.566	0.574	16.0	19.0	0.043	0.155	0.0	0.5
SYN1	TAB1	0.54	0.536	16.0	19.0	1.928	1.726	0.0	2.0
SLC35A2	GPKOW	0.519	0.516	41.0	41.0	0.18	0.199	0.25	1.5
WDR45	TMEM208	0.546	0.546	41.0	41.0	0.077	0.14	1.0	0.0
CACNA1F	WDR55	0.515	0.513	40.0	40.0	0.235	0.144	0.75	2.0
KDM5C	TMEM59	0.493	0.492	14.0	14.0	0.466	0.307	0.0	0.25
IQSEC2	RPS28	0.58	0.541	11.0	27.0	5.211	2.82	0.0	0.5
WNK3	RPS13	0.522	0.518	7.0	10.0	0.152	0.069	0.0	1.5
ARHGEF9	LMAN1	0.413	0.44	4.0	6.0	0.012	0.379	0.25	0.0
VSIG4	NSMCE1	0.444	0.453	2.0	6.0	0.651	0.622	0.0	0.5
AR	DDX27	0.53	0.505	0.0	8.0	0.014	0.126	0.0	1.75
OPHN1	ZBED5	0.497	0.484	3.0	6.0	1.018	0.922	0.25	0.25
DLG3	MIIP	0.559	0.54	13.0	17.0	2.53	1.512	0.25	2.5
SLC7A3	IKZF5	0.486	0.474	14.0	13.0	0.537	0.378	0.25	0.0
NLGN3	KDELR2	0.537	0.538	16.0	18.0	2.114	1.498	0.5	2.25
NEXMIF	ITCH	0.534	0.524	3.0	10.0	0.082	0.437	0.0	1.75
ATRX	NAT10	0.443	0.453	7.0	9.0	0.008	0.069	0.25	0.5
ZNF711	EPM2AIP1	0.45	0.464	3.0	6.0	0.017	0.078	0.0	0.5
PCDH11X	MGST3	0.504	0.486	1.0	6.0	1.054	1.223	0.0	0.0
PCDH19	TCF25	0.612	0.582	6.0	21.0	0.517	0.356	0.0	1.25
RPL36A-HNRNPH2	RPL36A-HNRNPH2	0.444	0.444	17.0	17.0	0.558	0.558	0.25	0.25
HNRNPH2	RPL36A	0.419	0.441	17.0	17.0	0.511	0.557	0.25	0.0
IL1RAPL2	PCBP1	0.552	0.541	5.0	13.0	0.135	0.118	0.25	0.0
ALG13	RAB14	0.349	0.436	6.0	11.0	0.497	0.205	0.5	0.75
AGTR2	UTP3	0.342	0.458	2.0	17.0	2.259	2.39	0.0	0.5
UPF3B	MORF4L2	0.446	0.442	18.0	21.0	0.74	0.688	1.0	0.25
RHOXF1	RAB2B	0.434	0.46	17.0	22.0	2.994	3.048	0.25	0.75
SMARCA1	DNAJC1	0.48	0.477	7.0	7.0	2.005	1.569	0.0	0.25
GPC4	CHMP5	0.596	0.54	3.0	13.0	0.627	0.342	0.0	0.25
SLC9A6	RPS3	0.49	0.487	15.0	14.0	1.074	0.962	0.25	1.5
MAGEC3	IDH3B	0.432	0.497	5.0	22.0	5.188	2.654	0.0	1.75
FMR1	NOMO1	0.5	0.503	1.0	9.0	1.065	0.947	0.0	0.75
AFF2	TMEM9	0.552	0.498	0.0	14.0	2.807	2.162	0.0	0.0
CD99L2	CIAO2A	0.546	0.494	5.0	11.0	3.239	1.432	0.0	0.25
SLC6A8	MSL1	0.702	0.617	31.0	29.0	2.387	1.302	0.0	0.5
MECP2	CHMP4A	0.481	0.51	42.0	44.0	1.161	1.148	0.75	1.5
RPL10	CDC37	0.644	0.633	38.0	36.0	0.276	0.326	0.75	0.0
PLXNA3	PPP6R2	0.63	0.627	33.0	35.0	0.687	0.784	1.5	0.5
RAB39B	VPS39	0.416	0.437	18.0	19.0	0.112	0.061	0.25	0.0
TMLHE	MRPL37	0.432	0.454	10.0	17.0	2.161	1.837	0.25	0.5
